name,state,city,domain
NIT Warangal Innovation and Entrepreneurship Foundation,Telangana,Warangal,AgricultureTechnology HardwareWaste ManagementHealthcare & LifesciencesInternet of Things
Technology Business Incubator-Graphic Era University,Uttarakhand,Dehradun,AIEnterprise SoftwareEducationRoboticsOthers
DAVV Incubation Centre,Madhya Pradesh,Indore,AR VR (Augmented + Virtual Reality)AnalyticsComputer VisionTelecommunication & NetworkingAgricultureAeronautics Aerospace & DefenceAIFinance TechnologyTechnology HardwareInternet of ThingsRoboticsBiotechnologyHealthcare & Lifesciences
Vignans Institute of Information Technology,Andhra Pradesh,Visakhapatnam,AR VR (Augmented + Virtual Reality)Computer VisionAIFinance TechnologyInternet of ThingsTechnology HardwareRoboticsOthers
IIMT Business Incubator Foundation,Uttar Pradesh,Meerut,AIFinance TechnologyEnterprise SoftwareEducationIT ServicesNon- Renewable EnergyRetailSocial ImpactLogisticsSecurity Solutions
Rohilkhand Incubation Foundation,Uttar Pradesh,Moradabad,AR VR (Augmented + Virtual Reality)Art & PhotographyAutomotiveAgricultureBiotechnologyWaste ManagementRoboticsSecurity SolutionsTextiles & ApparelSocial Network
SSCBS INNOVATION AND INCUBATION FOUNDATION,NCT of Delhi,Delhi,AR VR (Augmented + Virtual Reality)AgricultureAIFinance TechnologyFashionOthersSocial Impact
AIC GGSIPU FOUNDATION DELHI,NCT of Delhi,Delhi,AgricultureHealthcare & LifesciencesGreen TechnologySocial ImpactOthers
Mazumdar Shaw Medical Foundation - TBI,Karnataka,Bengaluru,Healthcare & Lifesciences
Nirmiti Incubation Center,West Bengal,Kolkata,Green TechnologyRenewable EnergyOthersRobotics
